
Entity_Region;75;
Population;Nouvelle-Aquitaine (75);;;;
Population en 2014;5879144;;;;
Densité de la population (nombre d'habitants au km²) en 2014;70;;;;
Superficie (en km²);84035,7;;;;
Variation de la population : taux annuel moyen entre 2009 et 2014, en %;0,6;;;;
dont variation due au solde naturel : taux annuel moyen entre 2009 et 2014, en %;0;;;;
dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2009 et 2014, en %;0,6;;;;
Nombre de ménages en 2014;2690556;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Naissances domiciliées en 2016;55817;;;;
Décès domiciliés en 2016 ;62788;;;;
Source : Insee, état civil en géographie au 01/01/2017;;;;;
;;;;;
Logement;Nouvelle-Aquitaine (75);;;;
Nombre total de logements en 2014;3376460;;;;
Part des résidences principales en 2014, en %;79,7;;;;
Part des résidences secondaires (y compris les logements occasionnels) en 2014, en %;11,9;;;;
Part des logements vacants en 2014, en %;8,4;;;;
Part des ménages propriétaires de leur résidence principale en 2014, en %;62,4;;;;
Source : Insee, RP2014 exploitation principale en géographie au 01/01/2016;;;;;
;;;;;
Revenus;Nouvelle-Aquitaine (75);;;;
Nombre de ménages fiscaux en 2014;2575240;;;;
Part des ménages fiscaux imposés en 2014, en %;55,1;;;;
Médiane du revenu disponible par unité de consommation en 2014, en euros;19991,7;;;;
Taux de pauvreté en 2014, en %;13,6;;;;
Avertissement : Pour des raisons de secret statistique, certains indicateurs peuvent ne pas être renseignés.;;;;;
;;;;;A cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).
;;;;;En 2014, les indicateurs relatifs aux taux de pauvreté et au niveau de vie de la Martinique et de La Réunion sont calculés en utilisant un revenu disponible
;;;;;hors revenus financiers imputés alors qu’en France métropolitaine, cela comprend les revenus financiers imputés.
Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2015;;;;;
;;;;;
Emploi - Chômage;Nouvelle-Aquitaine (75);;;;
Emploi total (salarié et non salarié) au lieu de travail en 2014;2316555;;;;
dont part de l'emploi salarié au lieu de travail en 2014, en %;84,4;;;;
Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2009 et 2014, en %;0,2;;;;
Taux d'activité des 15 à 64 ans en 2014;73,3;;;;
Taux de chômage des 15 à 64 ans en 2014;13,2;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Établissements;Nouvelle-Aquitaine (75);;;;
Nombre d'établissements actifs au 31 décembre 2015;616513;;;;
Part de l'agriculture, en %;10,2;;;;
Part de l'industrie, en %;6;;;;
Part de la construction, en %;10,6;;;;
Part du commerce, transports et services divers, en %;59,3;;;;
dont commerce et réparation automobile, en %;16,2;;;;
Part de l'administration publique, enseignement, santé et action sociale, en %;13,9;;;;
Part des établissements de 1 à 9 salariés, en %;23,2;;;;
Part des établissements de 10 salariés ou plus, en %;5,5;;;;
Champ : ensemble des activités;;;;;
Source : Insee, CLAP (connaissance locale de l'appareil productif) en géographie au 01/01/2015;;;;;
