
Entity_Region;27;
Population;Bourgogne-Franche-Comté (27);;;;
Population en 2014;2820623;;;;
Densité de la population (nombre d'habitants au km²) en 2014;59;;;;
Superficie (en km²);47783,3;;;;
Variation de la population : taux annuel moyen entre 2009 et 2014, en %;0,1;;;;
dont variation due au solde naturel : taux annuel moyen entre 2009 et 2014, en %;0,1;;;;
dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2009 et 2014, en %;–0,1;;;;
Nombre de ménages en 2014;1272302;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Naissances domiciliées en 2016;28300;;;;
Décès domiciliés en 2016 ;29499;;;;
Source : Insee, état civil en géographie au 01/01/2017;;;;;
;;;;;
Logement;Bourgogne-Franche-Comté (27);;;;
Nombre total de logements en 2014;1535090;;;;
Part des résidences principales en 2014, en %;82,9;;;;
Part des résidences secondaires (y compris les logements occasionnels) en 2014, en %;7,6;;;;
Part des logements vacants en 2014, en %;9,5;;;;
Part des ménages propriétaires de leur résidence principale en 2014, en %;62,9;;;;
Source : Insee, RP2014 exploitation principale en géographie au 01/01/2016;;;;;
;;;;;
Revenus;Bourgogne-Franche-Comté (27);;;;
Nombre de ménages fiscaux en 2014;1218290;;;;
Part des ménages fiscaux imposés en 2014, en %;57,3;;;;
Médiane du revenu disponible par unité de consommation en 2014, en euros;20088,7;;;;
Taux de pauvreté en 2014, en %;13,1;;;;
Avertissement : Pour des raisons de secret statistique, certains indicateurs peuvent ne pas être renseignés.;;;;;
;;;;;A cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).
;;;;;En 2014, les indicateurs relatifs aux taux de pauvreté et au niveau de vie de la Martinique et de La Réunion sont calculés en utilisant un revenu disponible
;;;;;hors revenus financiers imputés alors qu’en France métropolitaine, cela comprend les revenus financiers imputés.
Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2015;;;;;
;;;;;
Emploi - Chômage;Bourgogne-Franche-Comté (27);;;;
Emploi total (salarié et non salarié) au lieu de travail en 2014;1086877;;;;
dont part de l'emploi salarié au lieu de travail en 2014, en %;86,7;;;;
Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2009 et 2014, en %;–0,6;;;;
Taux d'activité des 15 à 64 ans en 2014;73,6;;;;
Taux de chômage des 15 à 64 ans en 2014;12,7;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Établissements;Bourgogne-Franche-Comté (27);;;;
Nombre d'établissements actifs au 31 décembre 2015;250682;;;;
Part de l'agriculture, en %;10,4;;;;
Part de l'industrie, en %;6,5;;;;
Part de la construction, en %;9,6;;;;
Part du commerce, transports et services divers, en %;58,4;;;;
dont commerce et réparation automobile, en %;17,8;;;;
Part de l'administration publique, enseignement, santé et action sociale, en %;15,1;;;;
Part des établissements de 1 à 9 salariés, en %;25,3;;;;
Part des établissements de 10 salariés ou plus, en %;6,2;;;;
Champ : ensemble des activités;;;;;
Source : Insee, CLAP (connaissance locale de l'appareil productif) en géographie au 01/01/2015;;;;;
