
Entity_Region;44;
Population;Grand Est (44);;;;
Population en 2014;5554645;;;;
Densité de la population (nombre d'habitants au km²) en 2014;96,7;;;;
Superficie (en km²);57433,4;;;;
Variation de la population : taux annuel moyen entre 2009 et 2014, en %;0,1;;;;
dont variation due au solde naturel : taux annuel moyen entre 2009 et 2014, en %;0,3;;;;
dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2009 et 2014, en %;–0,2;;;;
Nombre de ménages en 2014;2429251;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Naissances domiciliées en 2016;58477;;;;
Décès domiciliés en 2016 ;51865;;;;
Source : Insee, état civil en géographie au 01/01/2017;;;;;
;;;;;
Logement;Grand Est (44);;;;
Nombre total de logements en 2014;2766052;;;;
Part des résidences principales en 2014, en %;87,8;;;;
Part des résidences secondaires (y compris les logements occasionnels) en 2014, en %;3,2;;;;
Part des logements vacants en 2014, en %;8,9;;;;
Part des ménages propriétaires de leur résidence principale en 2014, en %;58,6;;;;
Source : Insee, RP2014 exploitation principale en géographie au 01/01/2016;;;;;
;;;;;
Revenus;Grand Est (44);;;;
Nombre de ménages fiscaux en 2014;2309488;;;;
Part des ménages fiscaux imposés en 2014, en %;56,3;;;;
Médiane du revenu disponible par unité de consommation en 2014, en euros;20417,5;;;;
Taux de pauvreté en 2014, en %;14,2;;;;
Avertissement : Pour des raisons de secret statistique, certains indicateurs peuvent ne pas être renseignés.;;;;;
;;;;;A cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).
;;;;;En 2014, les indicateurs relatifs aux taux de pauvreté et au niveau de vie de la Martinique et de La Réunion sont calculés en utilisant un revenu disponible
;;;;;hors revenus financiers imputés alors qu’en France métropolitaine, cela comprend les revenus financiers imputés.
Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2015;;;;;
;;;;;
Emploi - Chômage;Grand Est (44);;;;
Emploi total (salarié et non salarié) au lieu de travail en 2014;2094800;;;;
dont part de l'emploi salarié au lieu de travail en 2014, en %;88,7;;;;
Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2009 et 2014, en %;–0,6;;;;
Taux d'activité des 15 à 64 ans en 2014;72,9;;;;
Taux de chômage des 15 à 64 ans en 2014;14,1;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Établissements;Grand Est (44);;;;
Nombre d'établissements actifs au 31 décembre 2015;467699;;;;
Part de l'agriculture, en %;9;;;;
Part de l'industrie, en %;6,2;;;;
Part de la construction, en %;9,8;;;;
Part du commerce, transports et services divers, en %;60;;;;
dont commerce et réparation automobile, en %;18;;;;
Part de l'administration publique, enseignement, santé et action sociale, en %;15;;;;
Part des établissements de 1 à 9 salariés, en %;25,3;;;;
Part des établissements de 10 salariés ou plus, en %;6,5;;;;
Champ : ensemble des activités;;;;;
Source : Insee, CLAP (connaissance locale de l'appareil productif) en géographie au 01/01/2015;;;;;
