
Entity_Region;1;
Population;Guadeloupe (01);;;;
Population en 2014;400186;;;;
Densité de la population (nombre d'habitants au km²) en 2014;245,8;;;;
Superficie (en km²);1628,4;;;;
Variation de la population : taux annuel moyen entre 2009 et 2014, en %;–0,1;;;;
dont variation due au solde naturel : taux annuel moyen entre 2009 et 2014, en %;0,6;;;;
dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2009 et 2014, en %;–0,7;;;;
Nombre de ménages en 2014;170428;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Naissances domiciliées en 2016;4653;;;;
Décès domiciliés en 2016 ;3227;;;;
Source : Insee, état civil en géographie au 01/01/2017;;;;;
;;;;;
Logement;Guadeloupe (01);;;;
Nombre total de logements en 2014;220069;;;;
Part des résidences principales en 2014, en %;77,4;;;;
Part des résidences secondaires (y compris les logements occasionnels) en 2014, en %;7,4;;;;
Part des logements vacants en 2014, en %;15,2;;;;
Part des ménages propriétaires de leur résidence principale en 2014, en %;59,3;;;;
Source : Insee, RP2014 exploitation principale en géographie au 01/01/2016;;;;;
;;;;;
Revenus;Guadeloupe (01);;;;
Nombre de ménages fiscaux en 2014;;;;;
Part des ménages fiscaux imposés en 2014, en %;;;;;
Médiane du revenu disponible par unité de consommation en 2014, en euros;;;;;
Taux de pauvreté en 2014, en %;;;;;
Avertissement : Pour des raisons de secret statistique, certains indicateurs peuvent ne pas être renseignés.;;;;;
;;;;;A cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).
;;;;;En 2014, les indicateurs relatifs aux taux de pauvreté et au niveau de vie de la Martinique et de La Réunion sont calculés en utilisant un revenu disponible
;;;;;hors revenus financiers imputés alors qu’en France métropolitaine, cela comprend les revenus financiers imputés.
Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2015;;;;;
;;;;;
Emploi - Chômage;Guadeloupe (01);;;;
Emploi total (salarié et non salarié) au lieu de travail en 2014;128161;;;;
dont part de l'emploi salarié au lieu de travail en 2014, en %;80,6;;;;
Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2009 et 2014, en %;0,4;;;;
Taux d'activité des 15 à 64 ans en 2014;69,7;;;;
Taux de chômage des 15 à 64 ans en 2014;29,4;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Établissements;Guadeloupe (01);;;;
Nombre d'établissements actifs au 31 décembre 2015;48604;;;;
Part de l'agriculture, en %;3,8;;;;
Part de l'industrie, en %;6,8;;;;
Part de la construction, en %;11,4;;;;
Part du commerce, transports et services divers, en %;65,7;;;;
dont commerce et réparation automobile, en %;18,7;;;;
Part de l'administration publique, enseignement, santé et action sociale, en %;12,3;;;;
Part des établissements de 1 à 9 salariés, en %;18,5;;;;
Part des établissements de 10 salariés ou plus, en %;4,2;;;;
Champ : ensemble des activités;;;;;
Source : Insee, CLAP (connaissance locale de l'appareil productif) en géographie au 01/01/2015;;;;;
