
Entity_Region;52;
Population;Pays de la Loire (52);;;;
Population en 2014;3690833;;;;
Densité de la population (nombre d'habitants au km²) en 2014;115;;;;
Superficie (en km²);32081,8;;;;
Variation de la population : taux annuel moyen entre 2009 et 2014, en %;0,8;;;;
dont variation due au solde naturel : taux annuel moyen entre 2009 et 2014, en %;0,4;;;;
dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2009 et 2014, en %;0,4;;;;
Nombre de ménages en 2014;1605761;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Naissances domiciliées en 2016;40887;;;;
Décès domiciliés en 2016 ;33675;;;;
Source : Insee, état civil en géographie au 01/01/2017;;;;;
;;;;;
Logement;Pays de la Loire (52);;;;
Nombre total de logements en 2014;1937242;;;;
Part des résidences principales en 2014, en %;82,9;;;;
Part des résidences secondaires (y compris les logements occasionnels) en 2014, en %;10,5;;;;
Part des logements vacants en 2014, en %;6,6;;;;
Part des ménages propriétaires de leur résidence principale en 2014, en %;64,3;;;;
Source : Insee, RP2014 exploitation principale en géographie au 01/01/2016;;;;;
;;;;;
Revenus;Pays de la Loire (52);;;;
Nombre de ménages fiscaux en 2014;1551029;;;;
Part des ménages fiscaux imposés en 2014, en %;56,1;;;;
Médiane du revenu disponible par unité de consommation en 2014, en euros;20149,5;;;;
Taux de pauvreté en 2014, en %;11,1;;;;
Avertissement : Pour des raisons de secret statistique, certains indicateurs peuvent ne pas être renseignés.;;;;;
;;;;;A cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).
;;;;;En 2014, les indicateurs relatifs aux taux de pauvreté et au niveau de vie de la Martinique et de La Réunion sont calculés en utilisant un revenu disponible
;;;;;hors revenus financiers imputés alors qu’en France métropolitaine, cela comprend les revenus financiers imputés.
Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2015;;;;;
;;;;;
Emploi - Chômage;Pays de la Loire (52);;;;
Emploi total (salarié et non salarié) au lieu de travail en 2014;1507713;;;;
dont part de l'emploi salarié au lieu de travail en 2014, en %;87,4;;;;
Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2009 et 2014, en %;0,3;;;;
Taux d'activité des 15 à 64 ans en 2014;75;;;;
Taux de chômage des 15 à 64 ans en 2014;11,8;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Établissements;Pays de la Loire (52);;;;
Nombre d'établissements actifs au 31 décembre 2015;322148;;;;
Part de l'agriculture, en %;9,2;;;;
Part de l'industrie, en %;6,2;;;;
Part de la construction, en %;9,2;;;;
Part du commerce, transports et services divers, en %;61,7;;;;
dont commerce et réparation automobile, en %;16,2;;;;
Part de l'administration publique, enseignement, santé et action sociale, en %;13,7;;;;
Part des établissements de 1 à 9 salariés, en %;23,6;;;;
Part des établissements de 10 salariés ou plus, en %;6,8;;;;
Champ : ensemble des activités;;;;;
Source : Insee, CLAP (connaissance locale de l'appareil productif) en géographie au 01/01/2015;;;;;
