
Entity_Region;2;
Population;Martinique (02);;;;
Population en 2014;383911;;;;
Densité de la population (nombre d'habitants au km²) en 2014;340,3;;;;
Superficie (en km²);1128;;;;
Variation de la population : taux annuel moyen entre 2009 et 2014, en %;–0,6;;;;
dont variation due au solde naturel : taux annuel moyen entre 2009 et 2014, en %;0,5;;;;
dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2009 et 2014, en %;–1,1;;;;
Nombre de ménages en 2014;165876;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Naissances domiciliées en 2016;3782;;;;
Décès domiciliés en 2016 ;3284;;;;
Source : Insee, état civil en géographie au 01/01/2017;;;;;
;;;;;
Logement;Martinique (02);;;;
Nombre total de logements en 2014;207001;;;;
Part des résidences principales en 2014, en %;80,1;;;;
Part des résidences secondaires (y compris les logements occasionnels) en 2014, en %;4,9;;;;
Part des logements vacants en 2014, en %;15;;;;
Part des ménages propriétaires de leur résidence principale en 2014, en %;54,4;;;;
Source : Insee, RP2014 exploitation principale en géographie au 01/01/2016;;;;;
;;;;;
Revenus;Martinique (02);;;;
Nombre de ménages fiscaux en 2014;148503;;;;
Part des ménages fiscaux imposés en 2014, en %;39,7;;;;
Médiane du revenu disponible par unité de consommation en 2014, en euros;16074;;;;
Taux de pauvreté en 2014, en %;32,1;;;;
Avertissement : Pour des raisons de secret statistique, certains indicateurs peuvent ne pas être renseignés.;;;;;
;;;;;A cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).
;;;;;En 2014, les indicateurs relatifs aux taux de pauvreté et au niveau de vie de la Martinique et de La Réunion sont calculés en utilisant un revenu disponible
;;;;;hors revenus financiers imputés alors qu’en France métropolitaine, cela comprend les revenus financiers imputés.
Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2015;;;;;
;;;;;
Emploi - Chômage;Martinique (02);;;;
Emploi total (salarié et non salarié) au lieu de travail en 2014;131699;;;;
dont part de l'emploi salarié au lieu de travail en 2014, en %;84,2;;;;
Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2009 et 2014, en %;–0,4;;;;
Taux d'activité des 15 à 64 ans en 2014;71;;;;
Taux de chômage des 15 à 64 ans en 2014;26,1;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Établissements;Martinique (02);;;;
Nombre d'établissements actifs au 31 décembre 2015;52560;;;;
Part de l'agriculture, en %;2,8;;;;
Part de l'industrie, en %;5,1;;;;
Part de la construction, en %;8,7;;;;
Part du commerce, transports et services divers, en %;73;;;;
dont commerce et réparation automobile, en %;13,7;;;;
Part de l'administration publique, enseignement, santé et action sociale, en %;10,4;;;;
Part des établissements de 1 à 9 salariés, en %;16;;;;
Part des établissements de 10 salariés ou plus, en %;4;;;;
Champ : ensemble des activités;;;;;
Source : Insee, CLAP (connaissance locale de l'appareil productif) en géographie au 01/01/2015;;;;;
