
Entity_Region;6;
Population;Mayot (02473);;;;
Population en 2014;205;;;;
Densité de la population (nombre d'habitants au km²) en 2014;59,9;;;;
Superficie (en km²);3,4;;;;
Variation de la population : taux annuel moyen entre 2009 et 2014, en %;3,1;;;;
dont variation due au solde naturel : taux annuel moyen entre 2009 et 2014, en %;0,7;;;;
dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2009 et 2014, en %;2,3;;;;
Nombre de ménages en 2014;79;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Naissances domiciliées en 2016;2;;;;
Décès domiciliés en 2016 ;0;;;;
Source : Insee, état civil en géographie au 01/01/2017;;;;;
;;;;;
Logement;Mayot (02473);;;;
Nombre total de logements en 2014;91;;;;
Part des résidences principales en 2014, en %;87,6;;;;
Part des résidences secondaires (y compris les logements occasionnels) en 2014, en %;2,3;;;;
Part des logements vacants en 2014, en %;10,2;;;;
Part des ménages propriétaires de leur résidence principale en 2014, en %;79,2;;;;
Source : Insee, RP2014 exploitation principale en géographie au 01/01/2016;;;;;
;;;;;
Revenus;Mayot (02473);;;;
Nombre de ménages fiscaux en 2014;80;;;;
Part des ménages fiscaux imposés en 2014, en %;;;;;
Médiane du revenu disponible par unité de consommation en 2014, en euros;19112,9;;;;
Taux de pauvreté en 2014, en %;;;;;
Avertissement : Pour des raisons de secret statistique, certains indicateurs peuvent ne pas être renseignés.;;;;;
;;;;;A cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).
;;;;;En 2014, les indicateurs relatifs aux taux de pauvreté et au niveau de vie de la Martinique et de La Réunion sont calculés en utilisant un revenu disponible
;;;;;hors revenus financiers imputés alors qu’en France métropolitaine, cela comprend les revenus financiers imputés.
Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2015;;;;;
;;;;;
Emploi - Chômage;Mayot (02473);;;;
Emploi total (salarié et non salarié) au lieu de travail en 2014;13;;;;
dont part de l'emploi salarié au lieu de travail en 2014, en %;76,6;;;;
Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2009 et 2014, en %;1,7;;;;
Taux d'activité des 15 à 64 ans en 2014;74,2;;;;
Taux de chômage des 15 à 64 ans en 2014;12,6;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Établissements;Mayot (02473);;;;
Nombre d'établissements actifs au 31 décembre 2015;11;;;;
Part de l'agriculture, en %;27,3;;;;
Part de l'industrie, en %;0;;;;
Part de la construction, en %;18,2;;;;
Part du commerce, transports et services divers, en %;36,4;;;;
dont commerce et réparation automobile, en %;9,1;;;;
Part de l'administration publique, enseignement, santé et action sociale, en %;18,2;;;;
Part des établissements de 1 à 9 salariés, en %;18,2;;;;
Part des établissements de 10 salariés ou plus, en %;0;;;;
Champ : ensemble des activités;;;;;
Source : Insee, CLAP (connaissance locale de l'appareil productif) en géographie au 01/01/2015;;;;;
