
Entity_Region;28;
Population;Normandie (28);;;;
Population en 2014;3335645;;;;
Densité de la population (nombre d'habitants au km²) en 2014;111,5;;;;
Superficie (en km²);29906,7;;;;
Variation de la population : taux annuel moyen entre 2009 et 2014, en %;0,2;;;;
dont variation due au solde naturel : taux annuel moyen entre 2009 et 2014, en %;0,3;;;;
dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2009 et 2014, en %;–0,1;;;;
Nombre de ménages en 2014;1460440;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Naissances domiciliées en 2016;35744;;;;
Décès domiciliés en 2016 ;33074;;;;
Source : Insee, état civil en géographie au 01/01/2017;;;;;
;;;;;
Logement;Normandie (28);;;;
Nombre total de logements en 2014;1768558;;;;
Part des résidences principales en 2014, en %;82,6;;;;
Part des résidences secondaires (y compris les logements occasionnels) en 2014, en %;9,8;;;;
Part des logements vacants en 2014, en %;7,6;;;;
Part des ménages propriétaires de leur résidence principale en 2014, en %;58,2;;;;
Source : Insee, RP2014 exploitation principale en géographie au 01/01/2016;;;;;
;;;;;
Revenus;Normandie (28);;;;
Nombre de ménages fiscaux en 2014;1401679;;;;
Part des ménages fiscaux imposés en 2014, en %;56;;;;
Médiane du revenu disponible par unité de consommation en 2014, en euros;19900;;;;
Taux de pauvreté en 2014, en %;13,6;;;;
Avertissement : Pour des raisons de secret statistique, certains indicateurs peuvent ne pas être renseignés.;;;;;
;;;;;A cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).
;;;;;En 2014, les indicateurs relatifs aux taux de pauvreté et au niveau de vie de la Martinique et de La Réunion sont calculés en utilisant un revenu disponible
;;;;;hors revenus financiers imputés alors qu’en France métropolitaine, cela comprend les revenus financiers imputés.
Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2015;;;;;
;;;;;
Emploi - Chômage;Normandie (28);;;;
Emploi total (salarié et non salarié) au lieu de travail en 2014;1284336;;;;
dont part de l'emploi salarié au lieu de travail en 2014, en %;87,8;;;;
Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2009 et 2014, en %;–0,4;;;;
Taux d'activité des 15 à 64 ans en 2014;72,9;;;;
Taux de chômage des 15 à 64 ans en 2014;13,7;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Établissements;Normandie (28);;;;
Nombre d'établissements actifs au 31 décembre 2015;269672;;;;
Part de l'agriculture, en %;9,5;;;;
Part de l'industrie, en %;5,4;;;;
Part de la construction, en %;9,8;;;;
Part du commerce, transports et services divers, en %;60,9;;;;
dont commerce et réparation automobile, en %;17,1;;;;
Part de l'administration publique, enseignement, santé et action sociale, en %;14,4;;;;
Part des établissements de 1 à 9 salariés, en %;26;;;;
Part des établissements de 10 salariés ou plus, en %;6,7;;;;
Champ : ensemble des activités;;;;;
Source : Insee, CLAP (connaissance locale de l'appareil productif) en géographie au 01/01/2015;;;;;
