
Entity_Region;4;
Population;La Réunion (04);;;;
Population en 2014;842767;;;;
Densité de la population (nombre d'habitants au km²) en 2014;336,6;;;;
Superficie (en km²);2503,7;;;;
Variation de la population : taux annuel moyen entre 2009 et 2014, en %;0,6;;;;
dont variation due au solde naturel : taux annuel moyen entre 2009 et 2014, en %;1,2;;;;
dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2009 et 2014, en %;–0,6;;;;
Nombre de ménages en 2014;312737;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Naissances domiciliées en 2016;13741;;;;
Décès domiciliés en 2016 ;4689;;;;
Source : Insee, état civil en géographie au 01/01/2017;;;;;
;;;;;
Logement;La Réunion (04);;;;
Nombre total de logements en 2014;348781;;;;
Part des résidences principales en 2014, en %;89,7;;;;
Part des résidences secondaires (y compris les logements occasionnels) en 2014, en %;2;;;;
Part des logements vacants en 2014, en %;8,3;;;;
Part des ménages propriétaires de leur résidence principale en 2014, en %;51,3;;;;
Source : Insee, RP2014 exploitation principale en géographie au 01/01/2016;;;;;
;;;;;
Revenus;La Réunion (04);;;;
Nombre de ménages fiscaux en 2014;294830;;;;
Part des ménages fiscaux imposés en 2014, en %;33,7;;;;
Médiane du revenu disponible par unité de consommation en 2014, en euros;13827,8;;;;
Taux de pauvreté en 2014, en %;41,8;;;;
Avertissement : Pour des raisons de secret statistique, certains indicateurs peuvent ne pas être renseignés.;;;;;
;;;;;A cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).
;;;;;En 2014, les indicateurs relatifs aux taux de pauvreté et au niveau de vie de la Martinique et de La Réunion sont calculés en utilisant un revenu disponible
;;;;;hors revenus financiers imputés alors qu’en France métropolitaine, cela comprend les revenus financiers imputés.
Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2015;;;;;
;;;;;
Emploi - Chômage;La Réunion (04);;;;
Emploi total (salarié et non salarié) au lieu de travail en 2014;251828;;;;
dont part de l'emploi salarié au lieu de travail en 2014, en %;84,7;;;;
Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2009 et 2014, en %;1,1;;;;
Taux d'activité des 15 à 64 ans en 2014;69,7;;;;
Taux de chômage des 15 à 64 ans en 2014;35,8;;;;
Sources : Insee, RP2009 et RP2014 exploitations principales en géographie au 01/01/2016;;;;;
;;;;;
Établissements;La Réunion (04);;;;
Nombre d'établissements actifs au 31 décembre 2015;72536;;;;
Part de l'agriculture, en %;4,9;;;;
Part de l'industrie, en %;7,3;;;;
Part de la construction, en %;10,1;;;;
Part du commerce, transports et services divers, en %;61,8;;;;
dont commerce et réparation automobile, en %;18,6;;;;
Part de l'administration publique, enseignement, santé et action sociale, en %;15,9;;;;
Part des établissements de 1 à 9 salariés, en %;21,9;;;;
Part des établissements de 10 salariés ou plus, en %;5,5;;;;
Champ : ensemble des activités;;;;;
Source : Insee, CLAP (connaissance locale de l'appareil productif) en géographie au 01/01/2015;;;;;
